NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 55
0 0.753934159446 75.6716666667 92.13 61.0
1 0.189187311058 94.1866666667 94.91000000000001 61.0
2 0.142012542344 95.6533333333 95.24000000000001 63.0
3 0.120344007251 96.3483333333 95.74000000000001 66.5
4 0.106170989343 96.7916666667 96.16 67.5
5 0.09590724262 97.0116666667 96.23 67.5
6 0.0884829659003 97.2833333333 96.39999999999999 68.0
7 0.0819221601754 97.4616666667 96.81 69.5
8 0.0761902211904 97.67 96.88 69.5
9 0.0710512530012 97.805 96.81 69.5
10 0.0668416420012 97.9283333333 96.81 68.5
11 0.0624912730927 98.0916666667 96.77 70.5
12 0.0584995294857 98.2316666667 96.82 69.5
13 0.0553476461503 98.275 96.71 71.0
14 0.0525315951031 98.3366666667 96.8 72.5
15 0.0494807076196 98.4716666667 96.85000000000001 70.0
16 0.0465844426875 98.5333333333 96.75 71.0
17 0.0438912761879 98.6266666667 96.78999999999999 72.0
18 0.0413415033321 98.7083333333 96.81 72.0
19 0.0383328190495 98.785 97.0 71.5
20 0.0369472871175 98.7866666667 97.04 70.5
21 0.0339101045124 98.955 97.0 71.5
22 0.031702100374 99.015 97.19 71.5
23 0.0292116223721 99.1066666667 97.14 70.0
24 0.0269023687617 99.2016666667 97.03 70.0
25 0.0257540531088 99.205 97.06 70.5
26 0.0239460093952 99.2666666667 97.08 71.0
27 0.0220643565971 99.3233333333 96.97 71.0
28 0.0201846357647 99.405 97.17 71.0
29 0.0186230206163 99.4483333333 97.11 72.0
30 0.0167443252825 99.5216666667 97.16 71.0
31 0.016779536214 99.4883333333 97.33000000000001 70.0
32 0.0153486105039 99.5383333333 97.32 71.0
33 0.0150188630636 99.5266666667 97.64 70.0
34 0.0132053129949 99.6233333333 97.33000000000001 71.0
35 0.012583098241 99.625 97.24000000000001 70.5
36 0.0127272386661 99.5983333333 97.55 71.0
37 0.0109444170502 99.7 97.37 71.5
38 0.0104436183668 99.7016666667 97.49 70.0
39 0.0100385612394 99.7166666667 97.74000000000001 71.5
40 0.00914790401316 99.7366666667 97.33000000000001 69.5
41 0.00882164613208 99.7483333333 97.52 69.5
42 0.00854966542727 99.7416666667 97.56 70.0
43 0.0106557181749 99.685 97.28999999999999 72.0
44 0.00944620641074 99.685 97.39999999999999 70.0
45 0.00816893592039 99.76 97.71 72.0
46 0.00750953691047 99.7733333333 97.61999999999999 70.5
47 0.00657297911855 99.805 97.71 71.0
48 0.00560832353691 99.855 97.61 71.5
49 0.00591333829787 99.84 97.28 72.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 100
0 0.849775772003 70.8733333333 91.45 57.49999999999999
1 0.180806914743 94.4766666667 95.28999999999999 65.0
2 0.127288321004 96.17 96.09 64.5
3 0.104286358738 96.775 96.36 67.5
4 0.0903906313782 97.2083333333 96.39999999999999 70.0
5 0.0801847517524 97.5316666667 96.37 69.5
6 0.0723452699707 97.73 96.44 71.0
7 0.0656576634212 97.9833333333 96.52 71.5
8 0.0604127192586 98.1433333333 96.65 70.0
9 0.0558905100483 98.2316666667 96.98 70.0
10 0.0512597774988 98.3866666667 96.84 67.5
11 0.0483081760751 98.4866666667 97.03 71.0
12 0.0450816943885 98.5633333333 97.18 69.0
13 0.0406524625419 98.6616666667 96.93 71.0
14 0.0385124822967 98.7916666667 97.39 70.0
15 0.0350797072832 98.8933333333 97.33000000000001 70.5
16 0.0339840208167 98.9383333333 97.23 70.0
17 0.0310368615244 98.995 97.44 71.0
18 0.0280873093376 99.13 97.46000000000001 68.5
19 0.0283561469311 99.0583333333 97.36 68.5
20 0.0257680621204 99.1583333333 97.39 70.0
21 0.0249315814751 99.1883333333 97.45 69.5
22 0.0249358465429 99.1316666667 97.39999999999999 69.5
23 0.0217069242204 99.3033333333 97.5 65.5
24 0.0202913235512 99.3633333333 97.1 67.0
25 0.0179638801687 99.4266666667 97.23 69.5
26 0.0177294042284 99.4183333333 97.15 68.5
27 0.0170597409763 99.425 97.55 69.0
28 0.0186811898008 99.3516666667 97.36 69.5
29 0.0142464717396 99.5266666667 97.42 68.5
30 0.0127995937358 99.57 97.7 70.5
31 0.0122353616506 99.61 97.43 67.5
32 0.0118795798594 99.595 97.57000000000001 68.5
33 0.0131711058329 99.5683333333 97.6 69.0
34 0.0108079365954 99.63 97.66 71.0
35 0.00882353139557 99.7183333333 97.64 72.0
36 0.00769785646412 99.7516666667 97.78999999999999 70.0
37 0.00944974488654 99.6916666667 97.64 71.5
38 0.00739747990231 99.7683333333 97.77 68.0
39 0.00991788962193 99.64 97.6 68.5
40 0.00978171723209 99.6566666667 97.95 71.5
41 0.00852233074856 99.7233333333 98.0 70.5
42 0.00839109717219 99.725 97.88 71.0
43 0.00712548929458 99.775 97.44 69.0
44 0.00661859003355 99.78 97.85000000000001 67.0
45 0.00466650388139 99.86 98.08 71.0
46 0.00876317780252 99.7033333333 97.89999999999999 72.0
47 0.00822976705568 99.6983333333 97.82 71.5
48 0.00739344572963 99.7583333333 97.98 71.0
49 0.00463632733247 99.8416666667 98.07000000000001 69.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 75
0 0.800808854868 73.63 91.27 59.0
1 0.184769340324 94.48 95.21 61.0
2 0.131998024728 95.9866666667 95.91 64.5
3 0.109629417138 96.705 96.04 64.5
4 0.0957788700161 97.0683333333 96.08 68.0
5 0.0862063522559 97.365 96.00999999999999 68.0
6 0.0785706500571 97.5783333333 95.73 70.5
7 0.0722379359614 97.7766666667 95.5 72.0
8 0.0668681275127 97.9416666667 95.73 72.5
9 0.0624526817906 98.0633333333 95.62 73.5
10 0.0578206202839 98.185 96.12 71.5
11 0.0531685167904 98.3283333333 96.49 70.5
12 0.0508249405327 98.4 96.91 70.5
13 0.0473313899197 98.4966666667 96.54 71.0
14 0.0437700151086 98.6283333333 97.11 73.5
15 0.0414088416237 98.7116666667 96.89 70.5
16 0.0397719788229 98.72 97.2 71.0
17 0.0365191255726 98.7983333333 97.23 72.0
18 0.035601637523 98.88 97.31 72.5
19 0.0321814047951 98.9616666667 97.35000000000001 72.5
20 0.0310928885145 99.015 97.17 70.5
21 0.0279528978311 99.0916666667 97.00999999999999 72.0
22 0.0250736078161 99.215 97.21 71.5
23 0.0266395595619 99.1483333333 97.15 70.0
24 0.0232156453575 99.27 97.65 73.0
25 0.021578492254 99.2816666667 97.24000000000001 72.0
26 0.0193450312052 99.4216666667 97.39999999999999 70.5
27 0.0193586240815 99.375 97.54 72.5
28 0.0166876305563 99.475 97.25 71.5
29 0.015979103998 99.5016666667 97.19 69.5
30 0.0158119164948 99.505 97.56 71.5
31 0.0129693607313 99.6066666667 97.66 72.5
32 0.0119373024595 99.6133333333 97.59 71.0
33 0.0118074930171 99.6516666667 97.48 69.5
34 0.0113578067256 99.6383333333 97.59 72.0
35 0.00952436613246 99.7183333333 97.56 73.0
36 0.0104252152128 99.6683333333 97.57000000000001 71.5
37 0.0118435148595 99.6166666667 97.53 71.5
38 0.0135414641371 99.5116666667 97.58 73.0
39 0.0110894933898 99.6216666667 97.66 73.5
40 0.0110233311168 99.645 97.58 72.5
41 0.0119263397987 99.595 97.05 71.5
42 0.00879544621193 99.69 97.64 71.0
43 0.00819154769616 99.7283333333 97.56 70.5
44 0.00567363586662 99.8116666667 97.7 73.0
45 0.00549231637849 99.835 97.44 71.5
46 0.00559970770327 99.8316666667 97.82 70.0
47 0.00626562467279 99.7716666667 98.00999999999999 74.5
48 0.00539648229538 99.8283333333 97.59 70.0
49 0.00431072906606 99.885 97.74000000000001 72.5

----------------------------------------------------

NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 85
0 0.814988309117 72.6583333333 91.66 59.5
1 0.181869959389 94.4583333333 94.89999999999999 66.0
2 0.130332788079 95.9666666667 95.92 67.0
3 0.10832831911 96.7116666667 96.53 68.5
4 0.0944353212765 97.0833333333 96.6 68.5
5 0.0842549495883 97.4283333333 96.71 69.5
6 0.0762842893415 97.6383333333 96.99 69.0
7 0.0702933864364 97.7933333333 97.11 71.5
8 0.0648588186603 97.9816666667 97.18 72.0
9 0.0599978372159 98.0716666667 97.24000000000001 74.0
10 0.0550335442193 98.215 97.23 73.5
11 0.0511220461688 98.41 97.2 73.5
12 0.0478593569543 98.4866666667 97.22 73.0
13 0.0453393350471 98.53 97.11999999999999 72.5
14 0.0423419773591 98.645 97.11 71.5
15 0.0390125186972 98.75 97.38 73.0
16 0.0379988067437 98.735 97.49 72.0
17 0.0352606005372 98.8583333333 97.49 74.0
18 0.0338805503063 98.8933333333 97.19 72.5
19 0.0305642281364 99.0116666667 96.95 74.5
20 0.0294429612644 99.0066666667 97.31 72.5
21 0.0272547943853 99.1033333333 97.38 73.0
22 0.0268833460458 99.1316666667 97.7 72.5
23 0.0228102519659 99.2383333333 97.13000000000001 70.5
24 0.0202882013161 99.3833333333 97.36 71.5
25 0.0197956306301 99.34 97.6 72.0
26 0.017942178967 99.415 97.77 71.0
27 0.0178764409462 99.4083333333 97.52 73.0
28 0.0167836999327 99.4583333333 97.61 72.5
29 0.0156034759796 99.4983333333 97.74000000000001 71.5
30 0.0152539099851 99.52 97.48 70.5
31 0.0125635094059 99.5966666667 97.59 73.0
32 0.013844811076 99.5266666667 97.72999999999999 71.5
33 0.0116788150314 99.6283333333 97.65 71.0
34 0.011510538333 99.6416666667 97.88 72.5
35 0.0113195729125 99.6383333333 97.38 72.0
36 0.00970998272244 99.69 97.81 72.5
